username,location,tweet_text,created_at,retweets,likes,language,tweet_text_english
massageportal24,Basel Schweiz,Massageportal24 Anbieter Eintrag erstellen usw,2025-01-09 18:33:23+00:00,0,0,de,<pad> Massageportal24 Provider Create entry etc</s>
ChantalStadelm1,"Luzern, Schweiz",Schtzt eure haltet euch konsequent von jeglichen lebensgefhrlichen der WHO SwissmedicBAG fern KarlLauterbach Sie gehren in den Knast fr ihre und SHomburg RealWsiegrist,2025-01-09 17:49:15+00:00,0,1,de,<pad> Beware of all life-spans of the WHO SwissmedicBAG far from KarlLauterbach You are in prison for her and SHomburg RealWsiegerist</s>
berlinerzeitung,"Berlin, Deutschland",Adipositas tdliche Prionenkrankheiten Hitzestress Mangelernhrung Forscher wollen vielfltige gesundheitliche Bedrohungen bekmpfen Diese elf klinischen Studien knnten 2025 die Medizin prgen,2025-01-09 17:02:00+00:00,0,4,de,<pad> Obesity of prion diseases Heat stress Deficiency Researchers want to tackle many health threats These eleven clinical trials were able to prgen the medicine in 2025</s>
pp_gesundheit,no_location,DIOSynVax grndet neues Beratungsgremium um die klinische Entwicklung seiner NextGenImpfstoffe gegen Grippeerkrankungen einschlielich Vogelgrippe voranzutreiben via presseportalch,2025-01-09 16:34:33+00:00,0,0,de,<pad> DIOSynVax opens new advisory body to advance the clinical development of its NextGen vaccines against influenza diseases including avian flu via presseportalch</s>
MichaPfahl,Germany,Gesundheitsfachkrfte Tauchen Sie in die Welt der TraumaYogatherapie ein und entdecken Sie wie Yoga und Traumatherapie zusammenarbeiten knnen um Heilung und Wohlbefinden zu frdern,2025-01-09 16:31:42+00:00,0,0,de,<pad> Health professionals Immerse yourself in the world of trauma yoga therapy and discover how yoga and trauma therapy can work together to promote healing and well-being</s>
BeobachterRat,Zürich,CBDProdukte mit Risiken Wiederverkauf in der Schweiz verboten,2025-01-09 16:00:04+00:00,0,0,de,<pad> CBDProducts with risks Reselling prohibited in Switzerland</s>
ArkanumSolution,no_location,Rezept fr dauerhaftes krperliches geistiges und seelisches Wohlbefinden,2025-01-09 15:39:18+00:00,0,0,de,<pad> Recipe for permanent mental and mental well-being</s>
wn24aktuell,"Wiener Neustadt, Österreich",Wiener Neustadt Kostenlose Beratung fr sehbeeintrchtigte Menschen Angebot der Hilfsgemeinschaft der Blinden und Sehschwachen sterreichs,2025-01-09 15:12:42+00:00,0,0,de,<pad> Wiener Neustadt Free consultation for visually impaired people Offer of the Association of the Blind and Visually Impaired of Austria</s>
aktiennews_com,"Frankfurt, Hesse",Sind wir wirklich Weltmeister im Krankmachen Studie zeigt berraschende Ursachen fr Rekordzahlen,2025-01-09 15:00:28+00:00,0,0,de,<pad> Are we really world champions in sickness making study shows surprising causes for record numbers</s>
TeenaAusM,no_location,Umweltbewusstsein als Strke Wusstet ihr dass faire Produktion nicht nur die Natur schtzt sondern auch die Gesundheit unserer Kinder Lasst uns die Verantwortung fr unsere Zukunft bernehmen,2025-01-09 14:51:08+00:00,0,1,de,<pad> Environmental awareness as a strke Did you know that fair production not only protects nature but also the health of our children Let us take responsibility for our future</s>
a_lensen,no_location,amp Wissenschaft frdern die Gesundheit von und,2025-01-09 14:17:27+00:00,0,0,de,<pad> science promotes the health of and</s>
ua_nachrichten,"Kiew, Ukraine",Klitschko besuchte das Titanium Rehabilitationszentrum und trainierte verwundete Soldaten,2025-01-09 14:06:12+00:00,0,0,de,<pad> Klitschko visited the Titanium Rehabilitation Centre and trained wounded soldiers</s>
